Filename,Labels,Category
--4gqARaEJE.mp3,"Domestic animals, pets,Squeak,Dog,Animal",Animal Sounds
-0BIyqJj9ZU.mp3,"Chuckle, chortle,Belly laugh,Baby laughter",Miscellaneous
-0CamVQdP_Y.mp3,"Music,Walk, footsteps,Speech",Human Sounds
-0Gj8-vB1q4.mp3,"Christmas music,Theme music,Music",Musical Instruments
-0jeONf82dE.mp3,"Horse,Music,Neigh, whinny,Speech,Animal",Animal Sounds
-0nqfRcnAYE.mp3,"Dishes, pots, and pans",Miscellaneous
-0p7hKXZ1ww.mp3,"Firecracker,Speech",Human Sounds
-0RWZT-miFs.mp3,"Keys jangling,Car",Vehicle Sounds
-0vPFx-wRRI.mp3,"Finger snapping,Music",Musical Instruments
-0xzrMun0Rs.mp3,"Stomach rumble,Music",Musical Instruments
-0yRK50zyTI.mp3,"Crackle,Speech",Human Sounds
-116CjQ3MAg.mp3,"Bird,White noise,Outside, urban or manmade",Animal Sounds
-1EXhfqLLwQ.mp3,"Bathtub (filling or washing),Domestic animals, pets,Fill (with liquid),Pump (liquid),Water,Animal,Gush",Animal Sounds
-1hDIl9Udkw.mp3,"Music,Rattle,Speech",Human Sounds
-1Hub6Ps_cc.mp3,"Sink (filling or washing),Water tap, faucet,Speech,Hands,Inside, small room",Human Sounds
-1LQP2wemiQ.mp3,"Beep, bleep,Female speech, woman speaking,Speech",Animal Sounds
-1nilez17Dg.mp3,"Heart murmur,Speech",Human Sounds
-1OlgJWehn8.mp3,"Music,Radio",Musical Instruments
-1pRmoJIGQc.mp3,"Engine knocking,Engine,Idling",Vehicle Sounds
-1PZQg5Gi8A.mp3,"Smash, crash",Impact Sounds
-1UWSisR2zo.mp3,"Music,Maraca",Musical Instruments
-21_SXelVNo.mp3,"Sniff,Speech",Human Sounds
-22tna7KHzI.mp3,Explosion,Miscellaneous
-2EKWgTNEYU.mp3,Radio,Miscellaneous
-2sE5CH8Wb8.mp3,"Reversing beeps,Truck,Vehicle",Vehicle Sounds
-2xiZDEuHd8.mp3,"Music,Speech,Oink",Human Sounds
-3-4qmWSJXU.mp3,"Rain,Thunderstorm,Thunder,Rain on surface",Environmental Sounds
-36qTeAdDMI.mp3,"Telephone,Speech,Inside, small room",Human Sounds
-3Kv4fdm7Uk.mp3,"Music,Musical instrument,Steelpan",Musical Instruments
-3nXxwBlX5A.mp3,Wedding music,Miscellaneous
-3nyUrKWFEE.mp3,"Steam whistle,Steam",Miscellaneous
-3rHVsIj1M8.mp3,"Boat, Water vehicle,Wind,Ship,Wind noise (microphone)",Environmental Sounds
-3z5mFRgbxc.mp3,"Bus,Vehicle,Speech,Traffic noise, roadway noise",Human Sounds
-47nPCeukVc.mp3,"Vehicle,Air brake",Vehicle Sounds
-4kkGS4-qVM.mp3,"Clarinet,Wind instrument, woodwind instrument,Shofar",Environmental Sounds
-4pmCrSdMhg.mp3,"Music,Clip-clop,Speech",Human Sounds
-4SYC2YgzL8.mp3,"Music,Wedding music,Classical music",Musical Instruments
-4viN_EoxOA.mp3,"Brass instrument,Saxophone",Musical Instruments
-53zl3bPmpM.mp3,"Music,Bang,Speech",Human Sounds
-5CGQGSFGyg.mp3,"Organ,Electric piano,Electronic organ,Keyboard (musical),Piano",Musical Instruments
-5FoeegAgvU.mp3,"Music,Thunk",Musical Instruments
-5PZ_Bh-M6o.mp3,"Heart sounds, heartbeat",Miscellaneous
-65CfQUX9Ng.mp3,Pour,Miscellaneous
-6Aq2fJwlgU.mp3,"Smash, crash,Whack, thwack",Impact Sounds
-6cTEqIcics.mp3,"Siren,Civil defense siren",Miscellaneous
-6GcdDStIwM.mp3,"Dental drill, dentist's drill,Sound effect",Miscellaneous
-6HBGg1cAI0.mp3,"Traditional music,Music,Middle Eastern music",Musical Instruments
-6JnAxTXApw.mp3,White noise,Miscellaneous
-7B9tPuIP-w.mp3,"Blues,Music,Yell",Human Sounds
-7eDqv-6AKQ.mp3,"Vehicle,Air brake,Car",Vehicle Sounds
-7IhwezUrUA.mp3,"Cutlery, silverware",Miscellaneous
-7TanrCbmME.mp3,"Music,Speech,Child singing",Human Sounds
-7vpNApSN8g.mp3,"Dental drill, dentist's drill,Inside, small room",Miscellaneous
-7YESdyyHVw.mp3,Cowbell,Animal Sounds
-88me9bBzrk.mp3,"Carnatic music,Music",Musical Instruments
-8C-gydUbR8.mp3,"Music,Male singing,Female singing,Child singing",Musical Instruments
-8cgbhIR_pw.mp3,"Acoustic guitar,Music,Musical instrument,Steel guitar, slide guitar,Strum,Plucked string instrument,Tender music",Musical Instruments
-8Ds_ZrtQ9M.mp3,Mechanical fan,Miscellaneous
-8Mzg0pjOzc.mp3,"Music,Dental drill, dentist's drill,Speech",Human Sounds
-8pCMgGKZY8.mp3,"Music,Domestic animals, pets,Yip,Bow-wow,Speech,Dog,Animal,Whimper (dog)",Animal Sounds
-8s8gqSkRzI.mp3,Gasp,Miscellaneous
-95a1RB0jHs.mp3,"Explosion,Eruption",Miscellaneous
-98gqe2LWcg.mp3,"Liquid,Boiling",Miscellaneous
-9mHz0OsKKw.mp3,"Toot,Vehicle,Car,Outside, urban or manmade",Vehicle Sounds
-9O1cb8z7Mk.mp3,Fusillade,Miscellaneous
-9phJ0sJrXg.mp3,Synthetic singing,Miscellaneous
-c7hCWwTlrY.mp3,"Music,Speech,Ambient music",Human Sounds
-na-0NBG5Ow.mp3,"Croak,Frog",Miscellaneous
-r2-9oyIzkQ.mp3,"Music,Male singing",Musical Instruments
-R8MAtu1vWY.mp3,Sniff,Miscellaneous
-TN-8OnbpPQ.mp3,"Dental drill, dentist's drill,Speech",Human Sounds
0-2Onbywljo.mp3,"Music,Pig,Grunt,Speech",Animal Sounds
0-6N0Qagy5A.mp3,"Music,Bicycle bell,Synthesizer",Musical Instruments
0-7PyzhzuYQ.mp3,"Gospel music,Folk music,Flamenco,Music,Music of Bollywood,Music of Latin America,Bluegrass",Musical Instruments
0-EgET9q3qE.mp3,"Organ,Electronic organ",Miscellaneous
0-ljtP6WJrI.mp3,Whistling,Miscellaneous
0-N62G9etNE.mp3,"Music,Groan,Speech,Music of Latin America",Human Sounds
0-o0oZvSFOk.mp3,"Sheep,Bleat,Speech",Animal Sounds
0-yskgO46Bg.mp3,"Dental drill, dentist's drill,Speech",Human Sounds
007P6bFgRCU.mp3,"Brass instrument,Trumpet",Musical Instruments
00AGIhlv-w0.mp3,"Sanding,Rub,Wood",Miscellaneous
00cREXaIlnQ.mp3,"Boat, Water vehicle,Rowboat, canoe, kayak",Environmental Sounds
00FBAdjlF4g.mp3,Creak,Miscellaneous
00G2vNrTnCc.mp3,"Music,Pulse,Speech",Human Sounds
00iiNF4tn4o.mp3,Train whistle,Vehicle Sounds
00KM53yZi2A.mp3,Printer,Miscellaneous
00vYncpl0pk.mp3,"Video game music,Music",Musical Instruments
00wORCOKNHw.mp3,Clip-clop,Miscellaneous
00XaUxjGuX8.mp3,Bouncing,Miscellaneous
00z0M1DJyAw.mp3,"Turkey,Fowl,Gobble",Animal Sounds
01CiQ6VDxbo.mp3,Yell,Human Sounds
01he_d18c8o.mp3,"Train whistle,Steam whistle",Vehicle Sounds
01SaXyGY5SM.mp3,"Cat,Domestic animals, pets,Caterwaul,Speech,Animal",Animal Sounds
01x0zZpL87I.mp3,"Clatter,Speech",Human Sounds
02-0m4RbDUI.mp3,"Door,Knock,Speech",Human Sounds
02Ak1eIyj3M.mp3,"Ambulance (siren),Emergency vehicle,Siren",Miscellaneous
02Fdq2tyIWI.mp3,"Music,Happy music",Musical Instruments
02UvvE1oA1I.mp3,"Music,Bleat",Musical Instruments
02XbmweOzOY.mp3,Jackhammer,Miscellaneous
03aJ_RcnBko.mp3,Hammer,Miscellaneous
03c-hmoUfuc.mp3,"Telephone bell ringing,Speech,Inside, small room",Human Sounds
03c2pnO2Xv0.mp3,Crushing,Miscellaneous
03IZHwOh2eQ.mp3,"Chewing, mastication",Miscellaneous
03Q2SbeP_cw.mp3,"Ambulance (siren),Emergency vehicle,Siren",Miscellaneous
03Uz8L0u07Q.mp3,"Wild animals,Animal",Animal Sounds
03zeVlBWhdY.mp3,"Whimper,Speech",Human Sounds
0439dMJj-FY.mp3,"Thunderstorm,Thunder",Environmental Sounds
043ltTrTSno.mp3,"Music,Synthetic singing",Musical Instruments
0474eRAlFLY.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
04ChQ0fqzxQ.mp3,"Shuffling cards,Speech",Human Sounds
04NjXsLyCl4.mp3,"Music,Rattle",Musical Instruments
04QV0Xi5YTk.mp3,"Zither,Pizzicato",Miscellaneous
04xLK7R5wNA.mp3,Crunch,Miscellaneous
054iiUoKoyo.mp3,"Soundtrack music,Synthesizer",Miscellaneous
055kC3FYxK0.mp3,"Music,Bang,Speech",Human Sounds
05JAmKFVy44.mp3,"Music,Tick-tock",Musical Instruments
05rzRNMhoL0.mp3,Chop,Miscellaneous
06Nq51sogmQ.mp3,"Ratchet, pawl,Gears,Mechanisms",Miscellaneous
06pzMwo6VHA.mp3,"Marimba, xylophone,Glockenspiel,Mallet percussion",Miscellaneous
